,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,15.19,95,100,4.65,overcast clouds
1,Shenjiamen,CN,29.9576,122.298,54.59,58,0,9.53,clear sky
2,Port Alfred,ZA,-33.5906,26.891,80.96,73,73,13.24,broken clouds
3,Sola,VU,-13.8833,167.55,86.0,84,75,4.56,broken clouds
4,Codrington,AU,-38.2667,141.9667,59.11,67,37,26.96,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,77.97,75,97,8.55,overcast clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,72.0,97,94,3.0,light rain
7,Dhidhdhoo,MV,6.8833,73.1,81.7,79,95,11.5,light rain
8,Buraydah,SA,26.326,43.975,60.8,88,75,13.8,broken clouds
9,Cherskiy,RU,68.75,161.3,-22.18,87,94,1.92,overcast clouds
10,Chuy,UY,-33.6971,-53.4616,63.64,84,3,8.05,clear sky
11,Huarmey,PE,-10.0681,-78.1522,70.32,84,100,4.99,overcast clouds
12,Barrow,US,71.2906,-156.7887,-11.2,77,1,14.97,clear sky
13,Albany,US,42.6001,-73.9662,33.01,76,100,0.49,overcast clouds
14,Bluff,NZ,-46.6,168.3333,59.74,87,4,13.15,clear sky
15,Busselton,AU,-33.65,115.3333,82.99,38,0,5.99,clear sky
16,Kavieng,PG,-2.5744,150.7967,83.5,75,100,11.54,light rain
17,South Venice,US,27.0531,-82.4243,52.0,100,90,3.44,mist
18,Bubaque,GW,11.2833,-15.8333,77.14,61,2,13.29,clear sky
19,Luganville,VU,-15.5333,167.1667,83.62,79,100,6.24,moderate rain
20,Jamestown,US,42.097,-79.2353,33.01,93,1,9.15,clear sky
21,Zahirabad,IN,17.6833,77.6167,83.07,36,0,5.7,clear sky
22,Port Hardy,CA,50.6996,-127.4199,46.4,93,40,3.44,scattered clouds
23,Tezu,IN,27.9167,96.1667,77.41,32,26,4.07,scattered clouds
24,Tasiilaq,GL,65.6145,-37.6368,32.0,100,90,1.14,light snow
25,Kamaishi,JP,39.2667,141.8833,33.8,60,0,3.44,clear sky
26,Georgetown,MY,5.4112,100.3354,87.8,70,20,10.36,few clouds
27,Benghazi,LY,32.1167,20.0667,61.99,70,82,16.98,light rain
28,Hithadhoo,MV,-0.6,73.0833,82.33,77,78,16.6,broken clouds
29,Luderitz,NA,-26.6481,15.1594,67.46,71,79,4.56,broken clouds
30,Airai,TL,-8.9266,125.4092,69.33,100,100,1.21,moderate rain
31,Port Elizabeth,ZA,-33.918,25.5701,73.4,88,74,4.61,broken clouds
32,Isangel,VU,-19.55,169.2667,82.4,89,90,8.03,overcast clouds
33,Deputatskiy,RU,69.3,139.9,-23.87,88,100,4.61,overcast clouds
34,Neiafu,TO,-18.65,-173.9833,82.4,78,20,9.22,few clouds
35,Palasa,IN,18.7667,84.4167,82.08,54,40,7.94,scattered clouds
36,Honiara,SB,-9.4333,159.95,83.39,70,100,4.14,overcast clouds
37,Punta Arenas,CL,-53.15,-70.9167,51.8,82,75,5.75,broken clouds
38,San Ramon,US,37.7799,-121.978,55.0,76,1,1.92,clear sky
39,Bonthe,SL,7.5264,-12.505,76.82,89,86,4.16,overcast clouds
40,Sur,OM,22.5667,59.5289,75.07,45,0,6.6,clear sky
41,Kapaa,US,22.0752,-159.319,73.4,88,20,4.61,few clouds
42,Bardiyah,LY,31.7561,25.0865,55.27,63,0,17.69,clear sky
43,Grindavik,IS,63.8424,-22.4338,39.2,87,75,10.36,broken clouds
44,Elizabeth City,US,36.2946,-76.2511,37.0,100,1,2.66,mist
45,Saldanha,ZA,-33.0117,17.9442,66.2,88,100,6.91,light rain
46,Qena,EG,26.1615,32.7183,50.0,71,0,2.3,clear sky
47,Castro,BR,-24.7911,-50.0119,62.26,94,57,8.01,broken clouds
48,Sao Filipe,CV,14.8961,-24.4956,73.09,68,100,11.63,overcast clouds
49,Umm Kaddadah,SD,13.6017,26.6876,66.45,30,0,20.78,clear sky
50,Victoria,HK,22.2855,114.1577,69.01,51,0,6.29,clear sky
51,Chimbarongo,CL,-34.7,-71.05,60.8,41,90,6.91,overcast clouds
52,Noumea,NC,-22.2763,166.4572,84.0,89,90,4.61,overcast clouds
53,Quelimane,MZ,-17.8786,36.8883,84.2,79,40,3.44,light rain
54,Gasa,PS,31.5,34.4667,51.01,100,71,1.99,light rain
55,Tuatapere,NZ,-46.1333,167.6833,65.86,74,0,5.08,clear sky
56,Requena,ES,39.4883,-1.1004,44.01,75,0,11.5,clear sky
57,New Norfolk,AU,-42.7826,147.0587,55.0,59,100,1.01,overcast clouds
58,Omsukchan,RU,62.5333,155.8,-35.95,78,85,2.77,overcast clouds
59,Bambous Virieux,MU,-20.3428,57.7575,87.01,94,75,6.91,light rain
60,Alyangula,AU,-13.8483,136.4192,78.8,100,40,3.44,scattered clouds
61,Husavik,IS,66.0449,-17.3389,37.4,65,0,8.05,clear sky
62,Mataura,NZ,-46.1927,168.8643,71.1,64,25,3.65,scattered clouds
63,Nikolskoye,RU,59.7035,30.7861,3.0,85,90,4.47,light snow
64,Haines Junction,CA,60.7522,-137.5108,17.6,93,100,2.42,light snow
65,Sijunjung,ID,-0.6876,100.9537,89.44,49,74,2.62,broken clouds
66,Ahipara,NZ,-35.1667,173.1667,66.88,73,0,8.21,clear sky
67,Simplicio Mendes,BR,-7.8539,-41.9103,72.23,86,99,3.0,overcast clouds
68,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,90,12.66,overcast clouds
69,Vaini,TO,-21.2,-175.2,82.4,83,75,4.61,light rain
70,Sambava,MG,-14.2667,50.1667,85.69,67,100,6.02,overcast clouds
71,Ciudad Bolivar,VE,8.1222,-63.5497,73.85,86,91,9.98,overcast clouds
72,Saint-Joseph,RE,-21.3667,55.6167,86.0,66,0,14.97,clear sky
73,Atuona,PF,-9.8,-139.0333,77.32,78,13,11.45,few clouds
74,Lae,PG,-6.7221,146.9847,82.54,77,100,1.07,overcast clouds
75,Saint-Philippe,RE,-21.3585,55.7679,86.0,66,0,11.5,clear sky
76,Moyale,KE,3.5167,39.0584,77.16,41,68,8.77,broken clouds
77,Hamilton,US,39.1834,-84.5333,46.99,57,90,10.36,overcast clouds
78,Ribeira Grande,PT,38.5167,-28.7,63.32,83,100,33.29,light rain
79,Moerai,PF,-22.4333,-151.3333,79.5,73,100,12.73,overcast clouds
80,Hilo,US,19.7297,-155.09,73.4,78,1,5.75,clear sky
81,Broken Hill,AU,-31.95,141.4333,78.8,21,31,21.85,scattered clouds
82,Araure,VE,9.5601,-69.2148,72.84,72,100,3.42,overcast clouds
83,Lahaina,US,20.8783,-156.6825,75.2,69,1,3.44,clear sky
84,Lianran,CN,24.9227,102.485,63.0,47,40,8.95,scattered clouds
85,Zhangye,CN,38.9342,100.4517,21.94,87,79,2.13,broken clouds
86,Naze,JP,28.3667,129.4833,69.8,64,20,13.8,few clouds
87,Kieta,PG,-6.2167,155.6333,83.89,67,86,3.2,overcast clouds
88,Sayan,PE,-11.1361,-77.1933,68.54,76,100,2.98,overcast clouds
89,Tautira,PF,-17.7333,-149.15,82.0,74,20,3.44,few clouds
90,Marzuq,YE,14.4,46.4667,70.79,24,0,1.83,clear sky
91,Ushuaia,AR,-54.8,-68.3,44.6,76,75,10.36,broken clouds
92,Tura,IN,25.5198,90.2201,73.2,43,97,3.38,overcast clouds
93,Khatanga,RU,71.9667,102.5,-51.07,75,30,1.1,scattered clouds
94,Borborema,BR,-21.6197,-49.0736,70.27,85,73,3.15,broken clouds
95,Avarua,CK,-21.2078,-159.775,80.6,78,75,8.05,broken clouds
96,Bredasdorp,ZA,-34.5322,20.0403,71.6,73,0,1.14,clear sky
97,Hobart,AU,-42.8794,147.3294,55.0,87,75,6.91,heavy intensity rain
98,Vao,NC,-22.6667,167.4833,77.86,90,100,17.83,overcast clouds
99,Cape Town,ZA,-33.9258,18.4232,71.01,94,90,12.66,light rain
100,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.3,98,100,0.49,overcast clouds
101,Rock Sound,BS,24.9,-76.2,74.16,81,100,6.85,overcast clouds
102,Hermanus,ZA,-34.4187,19.2345,73.0,73,12,16.58,few clouds
103,Bathsheba,BB,13.2167,-59.5167,78.8,78,40,19.57,scattered clouds
104,Longyearbyen,SJ,78.2186,15.6401,23.0,93,90,5.75,light snow
105,Kulhudhuffushi,MV,6.6221,73.07,81.57,79,43,10.71,light rain
106,Zapolyarnyy,RU,69.4154,30.8136,14.0,85,75,10.36,broken clouds
107,Nyimba,ZM,-14.5566,30.8149,74.3,89,100,4.0,light rain
108,Lamu,KE,-2.2717,40.902,80.82,72,71,7.27,broken clouds
109,Namibe,AO,-15.1961,12.1522,73.51,67,0,3.27,clear sky
110,Rongcheng,CN,30.634,117.8517,60.67,37,0,6.91,clear sky
111,Nome,US,64.5011,-165.4064,12.99,85,1,10.36,clear sky
112,Chumikan,RU,54.7183,135.315,-11.29,81,12,18.39,few clouds
113,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.8,82,40,8.05,light rain
114,Okahandja,NA,-21.9833,16.9167,61.0,97,100,6.96,overcast clouds
115,Lakatoro,VU,-16.0999,167.4164,83.68,80,100,6.04,light rain
116,Gizo,SB,-8.103,156.8419,85.8,70,100,13.04,overcast clouds
117,Tual,ID,-5.6667,132.75,83.66,76,96,12.97,overcast clouds
118,Paamiut,GL,61.994,-49.6678,24.19,86,100,10.33,overcast clouds
119,Coahuayana,MX,18.7333,-103.6833,72.43,51,100,2.73,overcast clouds
120,Qaanaaq,GL,77.484,-69.3632,11.28,77,98,1.16,overcast clouds
121,Salalah,OM,17.0151,54.0924,80.6,12,0,2.3,clear sky
122,Nalut,LY,30.3333,10.85,42.1,61,0,2.71,clear sky
123,Pacific Grove,US,36.6177,-121.9166,53.6,94,40,9.33,scattered clouds
124,Ahuimanu,US,21.4447,-157.8378,77.0,88,90,6.46,mist
125,Mwingi,KE,-0.9344,38.0601,75.7,64,11,3.65,few clouds
126,Adrar,MR,20.5022,-10.0711,53.37,37,99,12.93,overcast clouds
127,Vilhena,BR,-12.7406,-60.1458,69.8,99,100,2.44,light rain
128,Sistranda,NO,63.7256,8.834,19.4,86,20,10.36,few clouds
129,Lafiagi,NG,8.8667,5.4167,72.28,21,62,2.3,broken clouds
130,Nanortalik,GL,60.1432,-45.2371,22.86,89,100,5.37,overcast clouds
131,Vagur,FO,61.4732,-6.8119,43.02,85,3,6.73,clear sky
132,Payo,ID,-3.7508,103.6372,87.98,57,100,3.67,overcast clouds
133,Shimoda,JP,34.6667,138.95,50.0,76,75,18.41,broken clouds
134,La Rochelle,FR,46.1667,-1.15,44.6,87,75,16.11,broken clouds
135,Vostok,RU,46.4856,135.8833,2.32,90,100,2.28,overcast clouds
136,Doha,QA,25.2867,51.5333,66.2,52,0,6.91,clear sky
137,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,73.54,95,79,4.25,broken clouds
138,Tizimin,MX,21.15,-88.15,65.66,95,100,3.18,overcast clouds
139,Pangnirtung,CA,66.1451,-65.7125,-5.85,71,0,2.46,clear sky
140,Kruisfontein,ZA,-34.0033,24.7314,80.01,81,73,1.01,light rain
141,Mar Del Plata,AR,-38.0023,-57.5575,69.01,72,0,14.97,clear sky
142,Carnarvon,AU,-24.8667,113.6333,86.0,74,19,18.41,few clouds
143,Olhao,PT,37.0286,-7.8411,41.0,93,0,5.75,clear sky
144,Alice Springs,AU,-23.7,133.8833,96.8,15,0,17.27,clear sky
145,Darhan,MN,49.4867,105.9228,-2.22,85,0,6.06,clear sky
146,Wewak,PG,-3.5534,143.6268,83.19,74,100,3.91,light rain
147,Krupanj,RS,44.3656,19.3619,24.8,100,40,3.44,mist
148,Nkhotakota,MW,-12.9274,34.2961,79.47,75,100,2.19,light rain
149,Pemangkat,ID,1.1667,108.9667,80.96,76,96,6.51,light rain
150,Grand Baie,MU,-20.0182,57.5802,87.01,73,11,5.99,few clouds
151,Yellowknife,CA,62.456,-114.3525,-4.0,84,1,5.75,clear sky
152,San Patricio,US,28.017,-97.5169,51.8,62,1,13.8,clear sky
153,Pskov,RU,57.8136,28.3496,-4.0,77,0,6.71,clear sky
154,Kavaratti,IN,10.5669,72.642,82.24,75,100,15.19,very heavy rain
155,Paita,PE,-5.0892,-81.1144,71.78,79,100,7.0,light rain
156,Lichinga,MZ,-13.3128,35.2406,68.0,94,75,6.91,light rain
157,Bom Conselho,BR,-9.1697,-36.6797,65.75,94,80,6.8,broken clouds
158,Karcag,HU,47.3167,20.9333,26.6,93,0,4.61,mist
159,Kingman,US,35.1894,-114.053,48.2,21,1,14.97,clear sky
160,Goderich,CA,43.7501,-81.7165,35.6,80,100,16.11,overcast clouds
161,General Jose Eduvigis Diaz,PY,-27.1667,-58.4167,79.0,86,0,3.0,clear sky
162,Pevek,RU,69.7008,170.3133,-13.58,90,94,2.75,overcast clouds
163,Bethel,US,41.3712,-73.414,35.01,93,90,3.6,mist
164,Iqaluit,CA,63.7506,-68.5145,-16.6,76,75,3.47,broken clouds
165,Burns Lake,CA,54.2331,-125.7533,19.4,86,100,1.14,light snow
166,Lata,PT,40.1629,-8.3327,44.6,100,75,2.3,fog
167,Torbay,CA,47.6666,-52.7314,32.0,100,90,4.61,overcast clouds
168,Margate,GB,51.3813,1.3862,39.0,82,100,3.0,overcast clouds
169,Tabou,CI,4.423,-7.3528,76.82,86,0,4.72,clear sky
170,Raudeberg,NO,61.9875,5.1352,33.01,86,45,5.91,scattered clouds
171,Lagoa,PT,39.05,-27.9833,62.29,85,100,31.61,overcast clouds
172,Saskylakh,RU,71.9167,114.0833,-42.74,79,56,4.97,broken clouds
173,Vokhtoga,RU,58.8147,41.0461,-0.69,93,97,4.68,snow
174,Mitchell,US,43.7094,-98.0298,32.0,64,90,35.68,overcast clouds
175,Makakilo City,US,21.3469,-158.0858,77.0,73,1,6.91,clear sky
176,Ponta Do Sol,PT,32.6667,-17.1,52.0,66,0,3.0,clear sky
177,Poum,NC,-20.2333,164.0167,82.29,80,100,7.14,overcast clouds
178,Westport,US,41.1415,-73.3579,39.0,100,76,5.79,broken clouds
179,Bontang,ID,0.1333,117.5,79.47,80,100,5.37,overcast clouds
180,Olafsvik,IS,64.8945,-23.7142,40.15,84,100,11.59,overcast clouds
181,Werder,DE,52.3787,12.934,34.0,96,100,5.26,overcast clouds
182,Piacabucu,BR,-10.4056,-36.4344,77.02,83,77,10.85,broken clouds
183,Abu Samrah,SY,35.3029,37.1841,53.64,67,0,20.2,clear sky
184,Ulaangom,MN,49.9811,92.0667,-5.91,85,1,1.83,clear sky
185,Gimli,CA,50.6336,-96.9907,28.4,86,100,13.8,overcast clouds
186,Viedma,AR,-40.8135,-62.9967,76.33,34,100,25.43,overcast clouds
187,Pestretsy,RU,55.7531,49.6545,14.0,85,75,6.71,broken clouds
188,Kirensk,RU,57.7853,108.1119,3.29,88,100,12.28,overcast clouds
189,Hofn,IS,64.2539,-15.2082,39.22,74,100,6.76,overcast clouds
190,Thompson,CA,55.7435,-97.8558,10.4,79,90,13.8,snow
191,Thap Than,TH,15.4606,99.8917,90.0,35,100,2.33,overcast clouds
192,Okhotsk,RU,59.3833,143.3,-15.97,78,35,7.31,scattered clouds
193,Faanui,PF,-16.4833,-151.75,81.36,76,0,13.49,clear sky
194,Alboraya,ES,39.5,-0.35,44.01,75,0,12.66,clear sky
195,Kidal,ML,18.4411,1.4078,63.77,25,88,10.18,overcast clouds
196,Biu,NG,10.6129,12.1946,64.47,26,0,6.08,clear sky
197,Evensk,RU,61.95,159.2333,-24.43,75,50,6.76,scattered clouds
198,Senanga,ZM,-16.1167,23.2667,72.45,83,100,4.27,light rain
199,Mahebourg,MU,-20.4081,57.7,82.4,94,75,6.91,light rain
200,Namatanai,PG,-3.6667,152.4333,83.84,71,59,6.31,broken clouds
201,Te Anau,NZ,-45.4167,167.7167,67.71,60,0,4.03,clear sky
202,Esperantina,BR,-3.9017,-42.2336,71.92,94,100,2.71,overcast clouds
203,Esperance,AU,-33.8667,121.9,73.4,46,40,20.71,scattered clouds
204,Vestmannaeyjar,IS,63.4427,-20.2734,41.0,87,90,28.77,overcast clouds
205,Dingle,PH,10.9995,122.6711,84.79,73,24,8.68,few clouds
206,Provideniya,RU,64.3833,-173.3,6.28,90,100,8.41,overcast clouds
207,Prince Rupert,CA,54.3161,-130.3201,46.4,81,90,17.27,light rain
208,Savannah Bight,HN,16.45,-85.85,75.99,94,58,0.98,broken clouds
209,Maraa,BR,-1.8333,-65.3667,71.76,98,100,0.72,overcast clouds
210,East London,ZA,-33.0153,27.9116,78.8,83,0,6.91,clear sky
211,Clyde River,CA,70.4692,-68.5914,-5.8,84,90,2.3,overcast clouds
212,Morant Bay,JM,17.8815,-76.4093,77.0,83,40,5.75,scattered clouds
213,Ostrovnoy,RU,68.0531,39.5131,16.54,96,98,6.82,light snow
214,Diapaga,BF,12.0708,1.7889,65.37,25,0,7.0,clear sky
215,Chokurdakh,RU,70.6333,147.9167,-4.86,92,99,6.58,overcast clouds
216,Dikson,RU,73.5069,80.5464,-30.28,81,24,7.87,few clouds
217,Linhares,BR,-19.3911,-40.0722,71.06,95,5,1.72,clear sky
218,Narang,PK,31.9132,74.5176,50.0,93,90,2.17,fog
219,Kaeo,NZ,-35.1,173.7833,75.99,44,0,5.01,clear sky
220,Sorland,NO,67.667,12.6934,37.4,75,40,9.22,scattered clouds
221,Nouadhibou,MR,20.931,-17.0347,60.8,33,0,23.02,clear sky
222,Kodiak,US,57.79,-152.4072,37.4,93,90,10.36,light rain
223,Grand Gaube,MU,-20.0064,57.6608,87.01,73,6,5.99,clear sky
224,Mazyr,BY,52.0495,29.2456,9.18,94,100,6.26,overcast clouds
225,Arraial Do Cabo,BR,-22.9661,-42.0278,74.88,89,0,15.52,clear sky
226,Sakakah,SA,29.9697,40.2064,50.0,50,0,13.8,clear sky
227,Norman Wells,CA,65.282,-126.8329,-5.8,77,20,4.61,few clouds
228,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.02,90,0,11.39,clear sky
